date,Item No.,Item Description,Warehouse Code,In Stock,Inventory UoM,company,department,unit cost
20/09/2017,MTGEN0000544,GENARAL - PVC FORSET SOCKET  40 mm  1 1/4'',,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000580,GENARAL - PVC THREAD SEAL   1 '',,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000580,GENARAL - PVC THREAD SEAL   1 '',,11,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001356,GENARAL - DRILL BIT 19MM (HSS),,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001364,GENARAL - JIGSAW BLADE METAL,,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001366,GENARAL - GRINDING WHEEL 100X6X16MM,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001387,GENERAL - ALAN BOLT 4MMX12MM,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001404,"GENERAL - CSK SCREW 1""",,88,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001415,"GENERAL - GI ELBOW 1/2""",,21,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001584,"GENERAL - GI REDUCER-THRED TYPE 1""X 3/4""",,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001639,GENARAL - RIVER SAND,,4.5,CUBE,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001639,GENARAL - RIVER SAND,,1,CUBE,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001885,GENARAL - ALAN BOLT  8MM X20mm,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001957,GENARAL - ROAD MARKING PAINT  (YELLOW),,9,LITER,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002410,GENARAL-CONCRETE FENCE POST 6ft,,9,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002555,GENARAL-½”GI PIPE – HAVY DUTY,,20,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002568,GENERAL-51112 BEARNG,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000803,MECHANICAL - BELT  A48,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000803,MECHANICAL - BELT  A48,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000890,"MECHANICAL - CIRCULAR BLADE 110MM X25.4 MMX 1.5 MM EQUAL TAPER ,",,32,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000988,MECHANICAL - RUBBER SPIDER 75,,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001294,MECHANICAL - TREADED NUT ENDCAP ID10MM OD20MM,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTPNM0001177,PNEUMATIC - (FLOW CONTROLER)  1/4''X8MM,,9,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTPNM0001327,"PNEUMATIC -  STUD CONECTOR 6MMX1/4""",,27,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001862,AUTOMOBILE-TOYOTA MOTOR OIL  (10W 30 )  4 LTS,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001862,AUTOMOBILE-TOYOTA MOTOR OIL  (10W 30 )  4 LTS,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001933,AUTOMOBILE-ASHOK LEYLAND - RADIATOR,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001935,AUTOMOBILE-KDH 201 – L/S HUB RAZER,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002571,AUTOMOBILE- MARUTY ALTO K10 - TIE ROD,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002591,AUTOMOBILE- TCM - PRESSURE PALTE,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000093,ELECTRICAL - INDICATER LAMP PANNEL BOARD  GREEN  AD 12,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000154,ELECTRICAL - RELAY BASE  SQUARE 14 PIN,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0001520,ELECTRICAL - SOLANIDE GOLE 200A 12V ELECTRIC LIFT TRUCK,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0001530,ELECTRICAL - THERMAL OVERLOAD RELAY 2.5-4A (SEMON BOILER),,1,nos,Western Paper Industries ,STORES,0
20/09/2017,MTELC0001673,ELETRICAL - HIGH BAY LIGHT SHADE Ø345MMX270MM HIGHT(WITHOUT LIGHT),,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTFUL0002377,FUEL & LUBRICANT- HM32 HYDROULIC OIL,,20,LITER,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000306,GENARAL -  NUT  STEEL 8 MM,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000323,GENARAL - ALAN BOLT  8 MM x 1 '',,43,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000329,GENARAL - ALLAN BOLT   5MM X 1 1/4'',,39,NOS,Western Paper Industries ,STORES,0
