no,Item No.,Des,company no,company,dept no,department,Inventory Uom,cur bal,adj qty,new bal,unit cost,total,wh code,wh
0,MTGEN0000375,aa,1,Western Paper Industries ,4,STORES,NOS,0,60,60,0,0,0,0
0,MTGEN0000449,aa,1,Western Paper Industries ,4,STORES,NOS,0,19,19,0,0,0,0
0,MTGEN0000514,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTGEN0000584,aa,1,Western Paper Industries ,4,STORES,NOS,0,14,14,0,0,0,0
0,MTGEN0001377,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0001385,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001400,aa,1,Western Paper Industries ,4,STORES,NOS,0,14,14,0,0,0,0
0,MTGEN0001403,aa,1,Western Paper Industries ,4,STORES,LETTER,0,1,1,0,0,0,0
0,MTGEN0001431,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTGEN0001549,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001630,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTGEN0001879,aa,1,Western Paper Industries ,4,STORES,NOS,0,9,9,0,0,0,0
0,MTGEN0001900,aa,1,Western Paper Industries ,4,STORES,NOS,0,56,56,0,0,0,0
0,MTGEN0001955,aa,1,Western Paper Industries ,4,STORES,NOS,0,33,33,0,0,0,0
0,MTGEN0001956,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0002223,aa,1,Western Paper Industries ,4,STORES,NOS,0,510,510,0,0,0,0
0,MTGEN0002245,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0002367,aa,1,Western Paper Industries ,4,STORES,NOS,0,26,26,0,0,0,0
0,MTGEN0002452,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0001011,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0001018,aa,1,Western Paper Industries ,4,STORES,NOS,0,23,23,0,0,0,0
0,MTMEC0001236,aa,1,Western Paper Industries ,4,STORES,NOS,0,42,42,0,0,0,0
0,MTMEC0001240,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTMEC0001285,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0001636,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTPNM0001199,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTPNM0001318,aa,1,Western Paper Industries ,4,STORES,NOS,0,12,12,0,0,0,0
0,MTPNM0001324,aa,1,Western Paper Industries ,4,STORES,NOS,0,37,37,0,0,0,0
0,MTPNM0001582,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTAUT0001625,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002116,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTAUT0002192,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002480,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002489,aa,1,Western Paper Industries ,4,STORES,MM,0,1150,1150,0,0,0,0
0,MTELC0000022,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTELC0001506,aa,1,Western Paper Industries ,4,STORES,nos,0,5,5,0,0,0,0
0,MTELC0002002,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0002009,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0002270,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTFUL0001556,aa,1,Western Paper Industries ,4,STORES,NOS,0,20,20,0,0,0,0
0,MTGEN0000288,aa,1,Western Paper Industries ,4,STORES,NOS,0,20,20,0,0,0,0
0,MTGEN0000334,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTGEN0000340,aa,1,Western Paper Industries ,4,STORES,NOS,0,13,13,0,0,0,0
0,MTGEN0000426,aa,1,Western Paper Industries ,4,STORES,NOS,0,29,29,0,0,0,0
0,MTGEN0000427,aa,1,Western Paper Industries ,4,STORES,NOS,0,15,15,0,0,0,0
0,MTGEN0000497,aa,1,Western Paper Industries ,4,STORES,NOS,0,190,190,0,0,0,0
0,MTGEN0000516,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0000516,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTGEN0000543,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0000543,aa,1,Western Paper Industries ,4,STORES,NOS,0,9,9,0,0,0,0
0,MTGEN0000581,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTGEN0000581,aa,1,Western Paper Industries ,4,STORES,NOS,0,28,28,0,0,0,0
0,MTGEN0000586,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTGEN0000586,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0000617,aa,1,Western Paper Industries ,4,STORES,PKT,0,179,179,0,0,0,0
0,MTGEN0000656,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0000665,aa,1,Western Paper Industries ,4,STORES,NOS,0,200,200,0,0,0,0
0,MTGEN0000669,aa,1,Western Paper Industries ,4,STORES,NOS,0,37,37,0,0,0,0
0,MTGEN0001372,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0001378,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0001379,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0001416,aa,1,Western Paper Industries ,4,STORES,NOS,0,12,12,0,0,0,0
0,MTGEN0001439,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0001451,aa,1,Western Paper Industries ,4,STORES,NOS,0,49,49,0,0,0,0
