no,ITEM CODE,Des,company no,company,dept no,department,Inventory UoM,cur bal,adj qty,NewBal,unit cost,total,wh code,wh
0,MTAUT0001873,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTAUT0001874,aa,1,Western Paper Industries ,4,STORES,NOS,0,16,16,0,0,0,0
0,MTAUT0001875,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001910,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001911,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001912,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001913,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001914,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001915,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001917,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001922,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001923,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001924,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001925,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001926,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001927,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001928,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001929,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001933,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001935,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001936,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001940,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001941,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001945,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001952,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001953,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001954,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001958,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001959,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001960,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001961,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001963,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001964,aa,1,Western Paper Industries ,4,STORES,NOS,0,8,8,0,0,0,0
0,MTAUT0001965,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001966,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001967,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001968,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001969,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001970,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001971,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001972,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0001973,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001974,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001975,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002020,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002032,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002033,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002034,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002035,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002036,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002037,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002039,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002041,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002042,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002043,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002056,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002057,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002058,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002059,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002064,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
